Report Date:,28/09/2017 16:18:43
Report User Name:,gvw
Report Computer Name:,DZ0044
Application:,WinSitu.exe
Application Version:,5.6.25.0


Log File Properties
File Name,RN24762_Append_2017-09-27_09-43-49-384.wsl
Create Date,27/09/2017 09:43:49

Device Properties
Device,Level TROLL 300
Site,RN24762  at round about
Device Name,RN011819_T_300_use_B_T_SN_177035
Serial Number,177117
Firmware Version,2.05
Hardware Version,3
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,28

Log Configuration
,Log Name,RN24762
,Created By,gvw
,Computer Name,DZ0044
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Create Date,20/04/2016 11:33:47 AUS Central Standard Time
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,20/04/2016 12:00:00 AUS Central Standard Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,          Level Reference Mode:,Set first logged value to offset
,        Level Reference Offset:,5.59 (m)


Other Log Settings
,Depth of Probe:,10.3109 (m)
,Head Pressure:,1030.06 (cmH2O)
,Temperature:,34.4233 (C)



Log Data:
Record Count,12598

Sensors,1

 ,1,177117,Pressure/Temp 30 PSIA (10.9m/35.8ft)

Time Zone: AUS Central Standard Time

,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,
,SN#: 177117                   ,SN#: 177117                   ,SN#: 177117                   ,
Date and Time,Pressure (cmH2O)              ,Temperature (C)               ,Level Depth To Water (m)      ,
24/04/2016 07:00:00    ,                      1732.047,                        29.861,                         5.655,
24/04/2016 08:00:00    ,                      1732.309,                        29.860,                         5.652,
24/04/2016 09:00:00    ,                      1732.490,                        29.863,                         5.650,
24/04/2016 10:00:00    ,                      1732.394,                        29.864,                         5.651,
24/04/2016 11:00:00    ,                      1732.115,                        29.862,                         5.654,
24/04/2016 12:00:00    ,                      1731.548,                        29.862,                         5.660,
24/04/2016 13:00:00    ,                      1731.001,                        29.863,                         5.665,
24/04/2016 14:00:00    ,                      1730.485,                        29.864,                         5.670,
24/04/2016 15:00:00    ,                      1729.946,                        29.860,                         5.676,
24/04/2016 16:00:00    ,                      1729.793,                        29.861,                         5.677,
24/04/2016 17:00:00    ,                      1729.885,                        29.863,                         5.676,
24/04/2016 18:00:00    ,                      1729.922,                        29.862,                         5.676,
24/04/2016 19:00:00    ,                      1730.324,                        29.863,                         5.672,
24/04/2016 20:00:00    ,                      1730.365,                        29.861,                         5.672,
24/04/2016 21:00:00    ,                      1730.509,                        29.862,                         5.670,
24/04/2016 22:00:00    ,                      1730.667,                        29.862,                         5.669,
24/04/2016 23:00:00    ,                      1730.537,                        29.861,                         5.670,
25/04/2016 00:00:00    ,                      1730.505,                        29.862,                         5.670,
25/04/2016 01:00:00    ,                      1730.526,                        29.862,                         5.670,
25/04/2016 02:00:00    ,                      1730.127,                        29.861,                         5.674,
25/04/2016 03:00:00    ,                      1730.127,                        29.861,                         5.674,
25/04/2016 04:00:00    ,                      1730.204,                        29.865,                         5.673,
25/04/2016 05:00:00    ,                      1730.143,                        29.863,                         5.674,
25/04/2016 06:00:00    ,                      1730.264,                        29.864,                         5.673,
25/04/2016 07:00:00    ,                      1730.509,                        29.862,                         5.670,
